"Name","Industry","annual_sales","annual_profit","latest_quarter_sales","latest_quarter_profit","q_sales_growth_pct","total_assets","total_debt","roe","stock_price"
"IB Infotech","Trading","5.83","0.73","1.53","0.16","150.82","1.89","0.0","50.52","140.25"
"IBL Finance","Finance & Investments","14.12","2.28","7.6","0.95","0","66.36","4.91","11.13","52.0"
"ICDS","Miscellaneous","2.28","2.04","0.71","0.31","18.33","28.66","0.13","7.69","33.89"
"ICE Make Refrig.","Electric Equipment","378.38","26.13","139.92","14.26","23.21","211.38","27.25","28.2","858.0"
"ICICI Bank","Banks - Private Sector","159515.92","46080.51","42606.72","12200.05","23.72","1958490.5","1399893.96","20.63","1202.7"
"ICICI Lombard","Finance & Investments","20487.37","1918.59","5367.05","519.5","18.77","63308.29","35.0","16.96","1818.0"
"ICICI Pru Life","Finance & Investments","89683.04","850.66","22481.61","173.67","104.68","299000.65","1200.0","8.07","610.25"
"ICICI Securities","Finance & Investments","5049.21","1696.69","1543.17","536.53","74.41","25622.67","16886.54","50.09","758.0"
"ICRA","Miscellaneous","446.11","152.24","123.96","47.06","13.64","1187.83","12.68","15.68","5900.0"
"IDBI Bank","Banks - Private Sector","26445.66","5814.1","6994.7","1672.0","22.08","331497.7","267959.91","12.5","84.3"
"Ideaforge Tech","Engineering","317.02","47.85","104.6","11.79","170.56","745.55","14.49","9.69","789.35"
"IDFC First Bank","Banks - Private Sector","30325.11","2942.35","8220.48","731.9","27.96","239882.05","201681.59","11.38","81.76"
"IEL","Trading","17.26","0.26","9.12","0.14","785.44","3.76","0.9","23.74","6.45"
"IFB Agro Inds.","Breweries & Distilleries","931.63","-8.08","216.05","-2.83","-4.45","636.1","11.18","-1.47","459.45"
"IFB Industries","Domestic Appliances","4311.68","68.88","1055.33","13.86","7.14","2162.85","161.92","9.96","1671.15"
"IFCI","Finance - Term-Lending Institutions","1986.58","241.06","605.42","157.33","46.36","18917.57","5366.98","2.49","62.18"
"IFGL Refractori.","Refractories / Intermediates","1639.49","81.67","393.94","12.54","7.01","1490.36","174.1","7.86","663.0"
"IFL Enterprises","Trading","8.24","1.0","1.99","-0.54","35.37","28.14","0.3","3.94","1.65"
"Igarashi Motors","Electric Equipment","725.04","9.57","204.6","5.14","18.31","773.6","138.09","2.16","490.0"
"IGC Industries","Trading","0.0","-0.39","0.0","-0.01","0","10.43","0.0","-43.09","42.68"
"IIFL Finance","Finance & Investments","10249.43","1974.22","2853.57","430.63","30.46","62421.16","47160.7","17.97","510.2"
"IIFL Securities","Finance & Investments","2161.28","513.34","686.43","180.56","70.8","7874.74","1153.85","32.67","214.75"
