"Name","Industry","annual_sales","annual_profit","latest_quarter_sales","latest_quarter_profit","q_sales_growth_pct","total_assets","total_debt","roe","stock_price"
"Sadhana Nitro","Chemicals","190.05","4.08","64.55","0.52","34.03","531.78","232.64","1.8","67.42"
"Sadhav","Shipping","84.25","9.15","50.56","5.08","0","179.55","67.03","22.35","237.0"
"Sadhna Broadcast","Entertainment / Electronic Media Software","15.41","0.34","3.88","1.16","-69.81","25.5","0.04","2.67","3.85"
"Safa Systems","Trading","537.92","2.14","295.05","1.28","0","89.76","41.04","12.63","15.2"
"Safari Inds.","Moulded Luggage","1550.42","175.81","365.42","43.19","20.72","1144.22","146.26","28.15","2074.95"
"Saffron Industri","Paper","16.2","-1.89","9.47","-0.33","155.95","10.84","16.98","0","8.05"
"Sagar Cements","Cement - South India","2504.61","-52.05","708.71","11.58","14.02","4250.47","1444.08","-4.5","249.7"
"Sagar Diamonds","Diamond Cutting / Jewellery","1418.88","-64.29","0.0","-77.29","0","35.75","0.53","20.06","25.8"
"Sagar Soya Prod","Solvent Extraction","0.0","0.31","0.0","0.16","0","6.62","1.72","10.58","1.7"
"Sagardeep Alloys","Mining / Minerals / Metals","99.78","0.76","29.34","0.26","36.59","41.78","12.04","2.78","27.04"
"SagarSoft (India","Computers - Software - Medium / Small","152.19","8.34","39.58","1.64","14.43","108.52","8.6","12.49","199.0"
"Sah Polymers","Packaging","108.97","0.93","32.4","0.13","62.9","131.5","30.59","0.95","92.35"
"Sahaj Fashions","Textiles - Products","125.18","0.94","53.36","0.51","0","87.14","39.41","4.74","20.75"
"Sahana Systems","Computers - Software - Medium / Small","53.67","15.04","31.54","11.13","0","88.52","12.64","142.29","1604.0"
"Sahara","Miscellaneous","13.43","0.78","8.17","0.71","0","14.4","1.32","14.74","50.0"
"Sahara Housing","Finance - Housing","10.62","1.4","2.7","0.45","-12.34","98.22","45.42","2.75","36.2"
"Sahyadri Industr","Cement Products","634.27","26.37","153.84","4.29","-7.83","559.82","115.94","7.58","434.4"
"Sai Capital","Finance & Investments","0.45","-13.15","0.05","-15.71","-72.22","366.1","15.53","-3.69","151.0"
"Sai Silks","Trading","1373.55","100.87","359.64","28.73","11.02","1641.64","464.23","13.82","190.2"
"Sai Swami Metals","Domestic Appliances","40.73","2.16","13.92","1.18","0","20.11","5.46","617.14","55.8"
"Saianand Commer.","Trading","5.42","0.76","0.84","0.19","-60.38","40.82","0.0","1.93","0.66"
"Sailani Tours N","Travel Agencies","23.46","0.3","7.63","0.09","0","9.13","0.74","4.32","24.7"
"Sainik Finance","Finance & Investments","15.25","2.0","3.69","0.49","-14.78","152.38","99.07","5.49","46.95"
"Saint-Gob. Sekur","Glass & Glass Products","200.7","31.23","46.08","7.3","-2.74","226.0","1.27","16.46","134.55"
"Sakar Healthcare","Pharmaceuticals - Indian - Bulk Drugs & Formln","153.35","11.67","43.06","3.12","5.93","388.74","68.84","5.36","311.3"
"Saksoft","Computers - Software - Medium / Small","761.63","96.17","194.9","23.2","7.05","786.39","26.35","21.14","284.15"
"Sakthi Finance","Finance & Investments","206.74","15.71","54.16","4.19","10.51","1424.96","1175.48","7.39","57.95"
"Sakthi Sugars","Sugar","1069.28","129.49","298.84","107.5","-8.54","1547.92","773.43","-109.4","39.82"
"Sakuma Exports","Trading","2124.66","39.97","501.06","26.01","-50.19","676.11","99.06","8.93","36.28"
"SAL Automotive","Automobiles - Tractors","307.52","5.1","60.78","0.93","-34.02","112.13","26.85","13.82","514.2"
"Salasar Exterior","Construction","0.28","0.06","0.28","0.14","0","32.48","9.43","0.5","17.65"
"Salasar Techno","Steel - Medium / Small","1208.43","52.93","367.33","16.97","24.65","1150.89","350.05","12.44","18.39"
"Salem Erode Inv.","Finance & Investments","4.09","-1.82","0.94","-1.53","2.17","47.53","20.02","-7.28","51.89"
"Salguti Industri","Packaging","86.6","-0.12","20.79","-0.19","-5.2","57.53","32.28","-1.34","41.19"
"Salona Cotspin","Textiles - Cotton/Blended","722.26","6.13","166.4","0.9","13.2","363.55","256.81","7.96","303.75"
"Salora Intl.","Trading","159.12","-2.09","33.38","-0.71","44.5","78.25","15.81","-3.64","65.48"
"Salzer Electron.","Electric Equipment","1135.58","43.19","317.57","12.08","7.61","970.12","307.87","10.09","906.4"
"Sam Industries","Construction","9.91","10.72","2.16","-0.27","-61.36","101.23","26.72","17.17","75.5"
"Sambandam Spg.","Textiles - Cotton/Blended","218.08","-7.9","61.9","-1.36","23.85","268.25","117.17","-8.26","165.5"
"Sambhaav Media","Entertainment / Electronic Media Software","39.96","0.58","13.04","2.2","13.29","103.13","13.2","1.27","4.63"
"Sameera Agro","Food - Processing - Indian","182.14","10.72","87.78","3.8","0","111.52","2.51","57.11","82.6"
"Samhi Hotels","Hotels","957.39","-234.62","279.16","11.29","36.32","3445.12","2122.7","-139.82","191.45"
"Samkrg Pistons","Auto Ancillaries","246.7","12.61","65.58","5.6","22.6","261.99","40.57","6.82","219.0"
"Samor Reality","Construction","0.06","-0.3","0.0","0.06","0","86.45","24.0","-0.79","95.41"
"Sampann Utpadan","Miscellaneous","71.45","-0.87","19.09","0.44","17.84","109.62","97.06","-15.55","32.96"
"Sampre Nutrition","Food - Processing - Indian","25.15","0.31","4.76","0.55","-59.21","44.83","17.5","1.5","65.9"
"Samrat Forgings","Castings & Forgings","162.03","2.97","39.45","0.64","-12.78","150.84","78.36","9.89","315.05"
"Samrat Pharma","Pharmaceuticals - Indian - Bulk Drugs","281.58","2.16","82.68","1.4","19.51","121.74","8.45","3.37","346.0"
"Samsrita Labs","Trading","0.0","-0.25","0.0","-0.07","-100.0","15.64","2.2","-2.01","16.01"
"Samtex Fashion","Textiles - Products","0.0","-4.77","0.0","-1.19","0","358.77","562.87","0","2.69"
"Samvardh. Mothe.","Auto Ancillaries","98691.74","3019.57","27058.22","1444.0","20.17","85021.75","19921.84","11.8","197.9"
"Samyak Internati","Trading","38.06","3.8","24.33","1.32","-26.43","90.37","3.49","5.68","31.21"
"Sanathnagar Ent.","Construction","3.81","2.94","2.3","1.85","0","6.91","14.99","0","83.39"
"Sanblue Corp.","Trading","1.4","0.25","1.4","-0.02","-54.4","64.87","0.0","0.51","50.54"
"Sanchay Finvest","Finance & Investments","0.57","-0.15","0.07","-0.05","-84.09","4.3","0.0","7.18","27.0"
"Sanco Industries","Plastics Products","0.0","-0.55","0.0","-0.11","-100.0","62.67","55.94","0","9.35"
"Sanco Trans","Miscellaneous","97.93","1.15","25.98","0.65","-0.84","143.34","12.55","1.1","750.0"
"Sancode Tech.","Computers - Software - Medium / Small","4.76","-1.75","2.52","-0.03","2000.0","8.67","1.38","-39.59","66.55"
"Sandesh","Entertainment / Electronic Media Software","320.19","188.69","85.54","71.92","10.92","1344.93","0.0","16.33","1550.3"
"Sandhar Tech","Auto Ancillaries","3521.11","110.26","917.83","35.86","19.98","2427.25","741.03","11.33","573.6"
"Sandu Pharma.","Pharmaceuticals - Indian - Formulations","67.28","1.46","15.6","0.59","2.23","52.42","0.06","3.66","58.6"
"Sandur Manganese","Mining / Minerals / Metals","1252.13","238.01","551.77","162.23","-9.21","2591.56","132.85","11.64","551.75"
"Sangal Papers","Paper","190.34","2.47","48.68","0.86","-18.54","89.62","26.5","6.12","220.0"
"Sangam Finserv","Finance & Investments","18.57","7.9","4.7","1.28","6.33","155.36","26.63","6.41","107.0"
"Sangam India","Textiles - Spinning - Synthetic / Blended","2647.97","38.09","706.06","12.55","2.67","2656.22","1004.69","4.64","408.7"
"Sangani Hospital","Healthcare","15.68","2.7","7.67","1.66","0","35.41","0.09","15.02","46.9"
"Sanghi Industrie","Cement - North India","821.35","-448.79","284.87","-19.02","26.23","3628.3","2083.62","-34.13","98.46"
"Sanghvi Brands","Miscellaneous","9.13","0.5","4.31","0.54","0","7.15","0.01","12.47","20.0"
"Sanghvi Movers","Miscellaneous","618.54","187.94","165.44","47.74","30.44","1424.46","292.12","20.28","1069.5"
"Sanginita Chemi.","Chemicals","151.5","0.77","53.04","-0.58","56.83","85.93","32.86","1.9","18.44"
"Sanjiv.Parant.","Pharmaceuticals - Indian - Formulations","54.41","6.17","12.86","1.26","58.37","43.41","0.97","49.7","205.0"
"Sanmit Infra","Trading","96.6","4.47","22.47","0.54","-44.12","51.43","9.76","13.26","14.98"
"Sanofi India","Pharmaceuticals - Multinational","2847.0","549.4","732.4","136.6","-0.56","1715.1","19.0","51.54","6550.95"
"Sanrhea Tech.","Textiles - Processing","68.04","5.2","15.73","2.18","2.34","34.74","6.03","27.22","178.75"
"Sansera Enginee.","Auto Ancillaries","2811.43","187.55","745.85","46.46","20.57","2792.74","890.66","14.77","1314.35"
"Santosh Fin Fab","Textiles - Processing","12.9","-0.94","2.48","-0.61","-41.09","12.93","4.84","-15.11","23.0"
"Sanwaria Consum.","Food - Processing - Indian","1.07","-5.8","0.27","-0.73","0","339.63","899.07","0","0.49"
"Sapphire Foods","Hotels","2594.28","51.96","631.7","2.04","12.72","2840.08","1163.92","4.0","1581.3"
"Saptak Chem &","Trading","0.0","-0.03","0.0","-0.03","0","0.16","2.33","0","2.83"
"Saptarishi Agro","Food - Processing - Indian","41.19","2.04","15.86","1.79","24.0","19.26","5.18","32.23","31.99"
"Sar Auto Prod.","Auto Ancillaries","20.04","1.17","5.39","-0.06","46.47","34.66","15.91","7.17","2200.0"
"Sar Televenture","Transmisson Line Towers / Equipment","124.12","15.66","88.34","11.6","0","266.42","177.87","132.94","241.0"
"Saraswati Commer","Finance & Investments","128.34","103.91","30.06","22.37","269.93","757.6","0.0","18.49","7849.9"
"Sarda Energy","Steel - Medium / Small","3868.13","524.04","889.25","87.99","-17.38","6001.85","1366.24","14.39","232.35"
"Sarda Proteins","Trading","1.3","0.02","0.06","0.02","-91.89","2.43","0.0","0.85","88.8"
"Saregama India","Entertainment / Electronic Media Software","803.0","197.56","263.05","53.9","29.16","2033.78","5.44","14.06","559.5"
"Sarla Performanc","Textiles - Spinning - Synthetic / Blended","383.26","32.72","105.84","11.42","51.68","686.78","135.37","7.58","107.6"
"Saroja Pharma In","Trading","40.86","0.88","19.36","0.38","0","26.56","5.73","17.29","42.5"
"Sarthak Global","Finance & Investments","4.07","0.02","3.98","0.06","65.83","19.63","17.77","1.21","15.08"
"Sarthak Industri","Trading","30.43","0.68","6.28","0.08","-68.58","54.96","1.77","1.72","24.78"
"Sarthak Metals","Mining / Minerals / Metals","305.17","13.83","70.65","1.73","-12.58","119.93","0.0","12.51","197.75"
"Sarup Industries","Leather / Leather Products","11.57","-1.7","3.84","0.11","252.29","65.45","42.98","0","42.77"
"Sarveshwar Foods","Food - Processing - Indian","869.59","16.78","247.32","4.14","90.52","791.02","298.26","7.55","8.93"
"Sarvottam Finve.","Finance & Investments","1.83","0.47","0.49","0.18","-14.04","25.92","0.5","1.88","29.75"
"Sashwat Technoc","Construction","0.0","0.1","0.0","-0.09","0","1.42","0.0","7.52","175.05"
"Sasken Technol.","Computers - Software - Medium / Small","406.43","78.74","108.99","17.21","5.93","925.64","7.99","10.58","1772.05"
"Sastasundar Ven.","Finance & Investments","1375.71","5.85","306.67","21.58","-2.07","1149.59","3.88","0.77","337.15"
"Sat Industries","Steel - Medium / Small","500.4","274.23","115.42","14.37","7.8","893.27","63.07","12.8","91.9"
"Satchmo Holdings","Construction","44.01","15.8","6.35","11.71","-89.4","796.16","133.86","0","4.18"
"Satia Industries","Paper","1720.78","211.19","430.59","39.45","-17.3","1404.47","319.14","25.36","128.0"
"Satin Creditcare","Finance & Investments","2232.79","435.94","642.11","128.22","49.61","10490.01","7914.94","21.8","223.55"
"Satra Properties","Construction","0.0","-1.16","0.0","-0.43","0","300.45","88.83","-3.04","1.03"
"Sattrix","Computers - Software - Medium / Small","36.59","4.0","0","0","0","25.67","1.94","40.59","204.7"
"Saumya Cons","Finance & Investments","59.67","21.38","18.7","-0.2","14284.62","118.23","0.31","21.73","211.65"
"Saurashtra Cem.","Cement - North India","1765.16","56.6","497.49","31.08","5.53","1571.01","85.03","7.67","134.25"
"Savani Financial","Finance & Investments","0.12","-2.0","0.03","-0.88","50.0","2.67","2.21","-181.82","20.72"
"Saven Tech.","Computers - Software - Medium / Small","13.17","2.49","3.36","0.57","-4.82","19.4","0.0","13.72","54.43"
"Savera Industrie","Hotels","72.15","10.31","18.99","1.9","16.86","95.44","3.58","13.84","128.0"
"Savita Oil Tech","Petrochemicals","3740.85","204.29","973.31","32.74","1.85","2480.09","0.07","13.29","562.2"
"Sawaca Business","Trading","6.54","0.46","6.03","0.01","1156.25","14.76","0.68","3.52","0.86"
"Sayaji (Indore)","Hotels","96.1","7.18","27.27","4.85","-6.35","111.93","41.82","14.76","1300.5"
"Sayaji Hot. Pune","Hotels","70.47","16.58","19.45","4.57","23.26","75.51","1.97","29.22","888.0"
"Sayaji Hotels","Hotels","111.76","14.34","33.76","8.01","-21.18","228.7","55.04","7.04","358.55"
"Sayaji Industr","Miscellaneous","975.4","-11.67","265.13","-7.82","-1.51","538.69","171.39","-10.65","168.9"
"SBC Exports","Textiles - Products","191.01","9.39","62.62","3.28","-3.47","184.17","24.79","23.75","28.12"
"SBEC Sugar","Sugar","654.51","-3.29","239.17","32.38","8.26","713.65","231.89","0","56.46"
"SBEC Systems","Miscellaneous","3.18","1.33","1.17","0.61","9.35","2.54","16.74","0","25.6"
"SBFC Finance","Finance & Investments","1018.97","237.02","278.81","73.43","34.33","7062.97","3996.02","10.53","83.18"
"SBI Cards","Finance & Investments","16985.69","2407.88","4347.72","662.37","15.56","58171.23","39891.08","21.98","728.9"
"SBI Life Insuran","Finance & Investments","131987.79","1893.78","36255.19","810.8","70.25","398298.81","0.0","13.56","1495.25"
"SBL Infratech","Construction","0.34","0.1","0.34","0.22","0","3.88","0.0","2.83","36.1"
"SC Agrotech","Miscellaneous","0.68","0.24","0.68","0.11","0","3.11","0.0","9.49","21.79"
"Scan Projects","Trading","7.99","0.06","3.07","0.75","111.72","6.15","0.12","18.3","73.87"
"Scan Steels","Steel - Medium / Small","965.41","21.05","256.98","11.43","-6.46","608.3","118.92","5.48","66.0"
"Scanpoint Geoma","Computers - Software - Medium / Small","29.53","1.62","19.28","1.13","210.47","191.92","64.18","1.89","8.33"
"Schaeffler India","Bearings","7381.73","917.33","1849.22","227.67","9.19","6268.99","51.1","20.01","4660.0"
"Schneider Elect.","Electric Equipment","2206.68","172.03","471.75","3.28","14.92","1581.54","546.83","96.56","918.4"
"Scintilla Comm","Finance & Investments","0.59","-2.19","0.18","-2.3","-5.26","10.74","0.81","-1.58","5.48"
"Scoobee Garments","Textiles - Products","40.21","3.74","7.54","-0.75","-46.07","58.04","52.46","277.04","77.06"
"Scooters India","Automobiles - Scooters And 3 - Wheelers","0.0","-31.14","0.0","-13.46","0","74.28","57.0","0","78.8"
"SDC Techmedia","Entertainment / Electronic Media Software","10.37","-3.0","5.48","-1.29","0","24.08","11.33","-78.88","9.24"
"Sea TV Network","Entertainment / Electronic Media Software","11.94","30.41","2.95","-0.03","23.43","15.61","25.67","0","8.15"
"Seacoast Ship.","Shipping","374.16","20.29","125.02","7.5","8.24","324.65","30.3","21.45","4.97"
"Sealmatic India","Engineering","71.02","9.85","34.0","3.26","0","110.45","3.36","12.48","630.0"
"SEAMEC Ltd","Shipping","729.29","120.65","236.38","52.74","87.84","1407.45","326.75","14.07","1268.75"
"Seasons Textiles","Textiles - Products","26.49","-0.21","7.74","-0.04","50.0","63.88","24.31","-0.6","16.75"
"Secmark Consult.","Computers - Software - Medium / Small","24.59","-2.36","7.29","1.84","18.34","31.35","11.06","-13.76","97.05"
"SecUR Credential","Miscellaneous","38.25","4.81","7.04","0.41","-41.33","92.57","22.81","18.84","11.5"
"SecureKloud Tech","Computers - Software - Medium / Small","340.32","-95.82","59.67","-49.34","-44.0","195.57","120.69","-197.9","37.3"
"Sejal Glass","Glass & Glass Products","163.8","3.34","49.94","0.32","309.01","230.4","162.02","15.31","360.0"
"SEL Mfg. Co","Textiles - Cotton/Blended","374.27","-192.95","28.01","-41.53","-87.73","1055.05","939.93","-443.69","60.98"
"Selan Expl. Tech","Oil Drilling / Allied Services","165.6","32.74","54.72","12.25","105.64","484.56","3.5","8.69","724.25"
"Sellwin Traders","Miscellaneous","39.96","0.86","15.53","0.29","56.24","29.08","0.0","4.05","24.0"
"Semac Consul","Engineering - Turnkey Services","127.49","-31.89","24.99","-16.04","-67.82","197.27","19.23","-33.08","620.0"
"Senco Gold","Diamond Cutting / Jewellery","5229.66","188.75","1129.93","36.83","39.02","3715.01","1756.02","16.23","1133.5"
"Senthil Infotek","Computers - Software - Medium / Small","0.11","0.0","0.03","0.0","-25.0","4.8","0.0","0.0","18.33"
"SEPC","Engineering - Turnkey Services","560.98","22.78","147.82","6.67","3.93","2209.3","454.95","1.98","18.7"
"Sequent Scien.","Pharmaceuticals - Indian - Bulk Drugs & Formln","1369.73","-29.61","361.2","1.28","-1.49","1540.38","487.7","-2.46","118.55"
"Sera Investments","Finance & Investments","22.86","17.87","5.27","3.46","256.08","55.63","29.62","69.13","18.58"
"Service Care Ltd","Miscellaneous","192.81","4.36","103.65","2.66","0","54.87","0.0","34.06","55.0"
"Servoteach Inds.","Engineering - Turnkey Services","0.0","-0.24","0.0","-0.13","0","0.16","0.0","0","26.18"
"Servotech Power","Electric Equipment","305.7","11.33","120.79","3.2","25.61","258.09","80.81","10.85","87.95"
"Seshasayee Paper","Paper","1801.56","259.37","539.36","53.16","-5.89","2317.4","21.0","15.2","337.2"
"Setco Automotive","Auto Ancillaries","616.32","-178.72","165.05","-29.37","48.09","558.55","934.59","0","12.95"
"Setubandhan Inf.","Construction","4.41","-1.31","0.0","-0.47","-100.0","168.25","160.2","0.06","0.89"
"Seven Hill Inds.","Finance & Investments","0.0","3.2","0.0","3.11","0","24.9","6.27","44.05","1.16"
"Seya Industries","Chemicals","8.06","-3.47","1.54","-0.37","-37.65","1612.31","770.98","-0.42","26.3"
"SG Finserve","Finance & Investments","189.72","78.58","58.55","23.8","112.6","1779.43","956.78","11.87","389.85"
"SG Mart","Trading","2682.9","61.04","1277.54","33.65","0","1487.05","182.29","11.11","455.0"
"SGN Telecoms","Cables - Power","0.0","-0.62","0.0","-0.02","0","3.19","0.0","-75.61","0.79"
"Sh. Ajit Pulp","Paper","294.51","8.25","107.47","2.85","41.87","516.16","226.28","3.79","234.0"
"Sh. Bajrang All.","Steel - Medium / Small","569.92","40.86","226.54","14.69","-37.28","414.8","59.45","14.62","287.0"
"Sh. Digvijay Cem","Cement - North India","791.64","87.76","224.26","31.73","14.89","534.57","0.02","24.86","111.1"
"Sh. Dinesh Mills","Textiles - Products","101.14","46.63","27.19","1.79","12.63","270.86","24.16","5.44","523.9"
"Sh. Ganesh Elas.","Finance & Investments","23.57","1.63","8.25","-0.97","300.49","7.86","0.82","34.72","23.38"
"Sh. Hari Chem.","Dyes And Pigments","138.33","2.29","32.49","0.28","4.98","71.55","26.83","11.98","76.15"
"Sh. Jagdamba Pol","Packaging","361.94","32.27","109.99","7.84","66.53","305.02","23.84","14.08","720.35"
"Sh. Karthik Pap.","Paper","64.84","0.34","14.62","-0.37","-21.86","36.64","22.97","14.98","10.43"
"Sh. Krish. Infr.","Construction","0.87","0.03","0.47","0.01","6.82","11.51","0.0","0.26","84.84"
"Sh. Krishna Pap.","Paper","144.35","0.38","35.21","-0.23","-20.27","86.29","25.85","1.2","40.26"
"Sh. Rajas. Synt.","Textiles - Spinning - Synthetic / Blended","25.29","112.15","1.56","126.66","-87.44","49.25","15.4","0","9.81"
"Sh. Rama Multi.","Packaging","177.7","9.96","46.61","3.35","-0.94","138.44","12.05","15.04","27.24"
"Sh. Steel Wire","Steel - Medium / Small","9.96","-0.15","3.29","0.02","-22.77","15.14","0.0","-1.11","39.6"
"Sh.Pushkar Chem.","Dyes And Pigments","726.17","37.06","190.77","13.09","5.8","709.58","107.74","8.13","208.2"
"Sh.Renuka Sugar","Sugar","11319.0","-627.2","3466.3","-111.0","48.86","10170.9","5794.0","0","49.59"
"Shah Alloys","Steel - Medium / Small","613.24","-18.64","128.41","4.41","-16.43","257.31","80.2","-43.92","62.5"
"Shah Foods","Food - Processing - Indian","0.0","-0.22","0.0","-0.09","0","0.52","0.0","0","244.9"
"Shah Metacorp","Steel - Medium / Small","96.77","4.26","46.28","1.48","123.79","138.07","36.54","11.35","4.02"
"Shahi Shipping","Shipping","12.43","2.59","4.15","1.62","14.96","18.6","5.39","56.61","17.12"
"Shahlon Silk","Textiles - Products","310.88","3.98","173.65","1.17","41.34","319.29","132.94","3.74","20.85"
"Shaily Engineer.","Plastics Products","643.87","57.29","170.56","19.34","26.81","782.46","209.05","13.31","809.35"
"Shakti Press","Printing & Stationery","11.58","0.48","3.32","-0.55","22.06","35.25","11.81","2.83","31.05"
"Shakti Pumps","Pumps","1370.74","141.71","609.28","89.66","233.56","1450.3","83.18","24.15","3848.4"
"Shalby","Healthcare","933.75","83.5","244.23","16.04","22.74","1607.53","377.87","8.66","270.25"
"Shalibhadra Fin.","Finance & Investments","32.78","11.97","9.52","3.31","21.27","158.22","57.92","13.87","639.0"
"Shalimar Agencie","Finance & Investments","0.0","-0.05","0.0","-0.05","0","4.1","0.0","-1.76","42.63"
"Shalimar Paints","Paints / Varnishes","534.91","-73.85","144.26","-26.42","6.58","669.56","105.88","-19.81","139.15"
"Shalimar Prod.","Entertainment / Electronic Media Software","2.09","0.07","1.18","0.57","47.5","103.22","0.85","0.07","0.71"
"Shalimar Wires","Textiles - Products","128.5","1.47","34.21","-0.1","10.11","175.39","89.62","-1.52","22.09"
"Shamrock Indl.","Trading","0.11","-0.04","0.0","-0.02","0","1.76","0.0","-2.29","12.04"
"Shangar Decor","Miscellaneous","12.99","0.75","9.4","0.63","244.32","27.1","8.47","10.72","8.17"
"Shankar Lal Ram.","Trading","287.73","6.48","77.04","1.75","-12.16","105.59","6.2","6.79","104.95"
"Shankara Build.","Trading","4828.44","81.13","1376.55","24.22","13.76","1585.53","86.65","11.34","685.0"
"Shantai Indust.","Trading","1.29","-0.06","1.29","0.07","316.13","7.52","0.0","-0.81","35.15"
"Shanthala","Trading","41.33","0.29","22.6","0.17","0","22.95","0.18","20.28","71.5"
"Shanthi Gears","Engineering","536.05","82.25","153.64","25.68","24.51","442.8","0.0","25.4","626.65"
"Shanti Educat.","Miscellaneous","14.3","3.18","1.75","-0.86","-84.08","68.01","1.52","5.15","85.77"
"Shanti Guru Inds","Trading","0.0","-0.1","0.0","-0.04","0","14.68","0.31","-0.72","18.46"
"Shanti Overseas","Food - Processing - Indian","10.66","-1.53","1.28","-0.09","-74.75","20.44","1.13","-10.38","15.82"
"Shanti Spintex","Textiles - Cotton/Blended","505.83","13.02","343.51","7.78","0","194.0","22.22","23.23","63.49"
"Shantidoot Infra","Construction","10.0","1.24","6.74","0.85","0","7.29","0.1","29.11","156.0"
"Sharanam Infra","Trading","1.76","0.03","1.76","0.1","0","25.3","0.75","0.43","0.55"
"Sharat Industrie","Aquaculture","302.16","5.87","64.67","0.36","3.31","203.9","95.5","7.22","58.08"
"Sharda Cropchem","Pesticides / Agrochemicals - Indian","3163.02","31.9","1312.05","143.49","-11.46","4038.32","18.3","1.43","476.25"
"Sharda Ispat","Steel - Medium / Small","227.27","13.97","52.66","4.18","25.59","76.72","21.79","31.57","665.4"
"Sharda Motor","Auto Ancillaries","2809.26","294.9","703.39","85.72","2.21","1647.08","23.66","32.64","2302.0"
"Shardul Sec.","Finance & Investments","172.91","97.81","53.54","16.12","1316.82","696.71","9.89","17.52","240.8"
"Share India Sec.","Finance & Investments","1482.81","425.76","465.37","115.75","36.58","2868.06","402.75","30.96","297.4"
"Sharika Enterpr.","Trading","78.42","1.53","29.36","7.71","37.26","55.67","17.03","6.26","23.26"
"Sharp Chucks and","Castings & Forgings","201.66","6.1","105.13","3.69","0","197.4","83.87","11.65","110.0"
"Sharp India","Electronics - Consumer","0.0","-17.85","0.0","-4.85","0","3.58","100.05","0","86.5"
"Sharp Investment","Finance & Investments","0.26","0.0","0.24","0.21","118.18","30.99","0.0","0.0","0.81"
"Sharpline Broadc","Miscellaneous","31.49","1.54","8.18","-1.34","-8.4","42.67","10.28","8.7","7.0"
"Shashank Traders","Trading","0.0","-0.16","0.0","-0.03","0","5.41","2.85","-6.63","24.21"
"Shashijit Infra.","Construction","27.35","-0.61","6.7","-1.02","-32.66","35.87","11.68","2.87","6.66"
"Shashwat Furnis.","Miscellaneous","3.06","-0.92","2.04","-0.41","0","5.49","1.57","-22.22","42.5"
"Sheela Foam","Miscellaneous","2982.31","183.93","845.15","65.15","15.93","5321.84","1493.11","6.09","937.0"
"Sheetal Cool","Food - Processing - Indian","352.71","20.84","84.75","7.13","39.23","234.75","83.57","20.02","553.95"
"Sheetal Univer.","Food - Processing - Indian","134.79","2.08","134.79","2.08","0","51.19","15.17","32.05","57.9"
"Shekhawati Poly.","Textiles - Processing","76.75","153.99","24.08","145.41","-43.73","44.12","0.84","0","4.7"
"Shelter Infra","Miscellaneous","1.64","-0.19","0.59","-0.17","63.89","41.0","17.61","-5.05","11.26"
"Shelter Pharma","Pharmaceuticals - Indian - Bulk Drugs","40.02","6.2","20.71","3.12","0","37.91","0.57","42.73","49.9"
"Shemaroo Entert.","Entertainment / Electronic Media Software","707.2","-39.92","198.86","-13.91","20.89","1022.04","334.19","-6.97","146.9"
"Shera Energy","Mining / Minerals / Metals","875.1","14.05","491.27","7.9","36.79","444.08","119.64","10.7","178.6"
"Shervani Indl Sy","Construction","142.7","30.85","25.68","-2.63","439.5","229.84","31.55","20.59","611.0"
"Sheshadri Indus.","Textiles - Products","25.23","-2.53","6.06","-0.33","16.31","34.96","28.1","0","14.85"
"Shetron","Packaging","239.88","6.53","51.52","1.12","-6.36","157.34","60.51","12.23","111.3"
"Shigan Quantum","Auto Ancillaries","151.94","5.38","86.05","3.55","0","151.74","44.68","10.05","103.0"
"Shilchar Tech.","Electric Equipment","396.88","91.89","105.43","25.02","10.99","292.48","0.0","55.52","5797.2"
"Shilp Gravures","Mining / Minerals / Metals","77.7","11.21","20.0","1.32","3.63","114.45","3.32","12.06","162.0"
"Shilpa Medicare","Pharmaceuticals - Indian - Formulations","1151.6","31.95","291.69","24.5","10.67","3093.2","937.39","1.72","572.5"
"Shine Fashions","Trading","54.13","3.94","33.85","2.39","0","25.56","0.98","62.26","177.0"
"Shipping Land","Miscellaneous","17.22","47.49","3.96","8.32","42.45","3498.2","0.09","1.48","80.86"
"Shish Industries","Plastics Products","85.48","8.43","25.72","3.95","33.13","84.12","13.22","18.18","137.6"
"Shiva Cement","Cement - South India","346.73","-68.32","144.45","-11.81","0","1541.63","1423.21","0","50.34"
"Shiva Global","Fertilizers","394.81","-24.88","98.44","-18.94","-35.17","268.68","107.89","4.97","47.43"
"Shiva Granito","Mining / Minerals / Metals","5.44","0.83","4.51","0.75","0","23.19","5.36","12.52","14.75"
"Shiva Mills","Textiles - Spinning - Synthetic / Blended","157.92","-3.25","47.32","0.45","26.09","122.71","10.3","-3.32","93.44"
"Shiva Texyarn","Textiles - Cotton/Blended","335.28","-11.08","70.25","5.18","-27.9","288.87","105.06","-8.62","171.2"
"Shivagrico Impl.","Castings & Forgings","43.6","0.07","11.77","-0.01","29.77","28.7","19.18","0.95","23.2"
"Shivalic","Electric Equipment","82.16","7.16","0","0","0","58.27","23.54","34.26","321.0"
"Shivalik Bimetal","Mining / Minerals / Metals","449.4","81.13","111.77","25.3","1.49","407.61","31.29","27.84","592.35"
"Shivalik Rasayan","Pesticides / Agrochemicals - Indian","272.98","18.07","71.23","4.6","13.19","692.47","76.08","3.77","636.0"
"Shivam","Trading","146.54","1.21","82.3","0.72","0","40.96","15.85","8.84","49.39"
